company,job_age,address,job_type,min_exp_yrs
The Food Lab,8 days ago,"Maadi, Cairo, Egypt ",Full time,2
Raya Customer Experience,10 days ago,"Cairo, Egypt ",Full time,5
Zeina Group,12 days ago,"Sheikh Zayed, Giza, Egypt ",Full time,1
Premier Services and Recruitment,12 days ago,"6th of October, Giza, Egypt ",Full time,4
almentor,15 days ago,"Maadi, Cairo, Egypt ",Full time,3
Olam SVI,16 days ago,"6th of October, Giza, Egypt ",Full time,0
Fund Ourselves Ltd,19 days ago,"Downtown, Cairo, Egypt ",Full time,1
Carina Wear,1 month ago,"New Cairo, Cairo, Egypt ",Full time,1
Z2 Data,1 month ago,"Nasr City, Cairo, Egypt ",Full time,3
Second profit  ,1 month ago,"Cairo, Egypt ",Full time,1
Safa International Travel,9 days ago,"Dokki, Giza, Egypt ",Full time,3
AKL Auto Feeding Industries,1 month ago,"Talkha, Dakahlia, Egypt ",Full time,2
Transformation Experts,16 days ago,"Riyadh, Saudi Arabia ",Full time,3
OPEX Egypt,20 days ago,"New Cairo, Cairo, Egypt ",Full time,2
Confidential -,1 month ago,"Alexandria, Egypt ",Full time,3
Andalusia Group,1 month ago,"Alexandria, Egypt ",Freelance project,2
AKL Auto Feeding Industries,1 month ago,"Talkha, Dakahlia, Egypt ",Full time,2
Ashtar.app,12 days ago,"Maadi, Cairo, Egypt ",Full time,1
Target Recruitment  & HR Solutions ,20 days ago,"Cairo, Egypt ",Full time,2
StatsBomb,1 month ago,"Nasr City, Cairo, Egypt ",Full time,5
World Vest Base (WVB ),8 days ago,"Heliopolis, Cairo, Egypt ",Full time,0
World Vest Base (WVB ),11 days ago,"Heliopolis, Cairo, Egypt ",Full time,0
Paymob Solutions,20 days ago,"Maadi, Cairo, Egypt ",Full time,2
Target for Chemicals industry and trade,17 days ago,"Bourj Alarab, Alexandria, Egypt ",Full time,3
Elaraby Group,1 month ago,"Cairo, Egypt ",Full time,0
360Imaging,9 days ago,"Dokki, Giza, Egypt ",Full time,5
Transformation Experts,11 days ago,"Riyadh, Saudi Arabia ",Full time,3
SME Consulting ,13 days ago,"Nasr City, Cairo, Egypt ",Work from home,0
Confidential -,9 days ago,"New Cairo, Cairo, Egypt ",Full time,4
Rasan,9 days ago,"Nasr City, Cairo, Egypt ",Full time,4
Transformation Experts,9 days ago,"Riyadh, Saudi Arabia ",Part time,3
Lun Development,11 days ago,"Nasr City, Cairo, Egypt ",Freelance project,2
Code95,13 days ago,"Ismailia, Egypt ",Full time,4
Town Team,1 month ago,"Tanta, Gharbia, Egypt ",Full time,3
Meem Development,17 days ago,"Smouha, Alexandria, Egypt ",Full time,2
Confidential -,9 days ago,"Sheraton, Cairo, Egypt ",Full time,5
Future Group,11 days ago,"Dokki, Giza, Egypt ",Full time,1
Confidential -,1 month ago,"Smart Village, Giza, Egypt ",Work from home,5
Maxab,1 month ago,"Maadi, Cairo, Egypt ",Full time,0
Marico,19 days ago,"Katameya, Cairo, Egypt ",Full time,5
Majorel Egypt,17 days ago,"Cairo, Egypt ",Full time,1
e Aswaaq Misr,1 month ago,"6th of October, Giza, Egypt ",Full time,7
citPEAK,18 days ago,"Nasr City, Cairo, Egypt ",Full time,3
Fixed Solutions,18 days ago,"Sheraton, Cairo, Egypt ",Full time,5
Med Right for medical services,1 month ago,"Maadi, Cairo, Egypt ",Full time,1
Johnson Controls,25 days ago,"Cairo, Egypt ",Full time,6
Algoriza,26 days ago,"Cairo, Egypt ",Full time,4
Hire,25 days ago,"Garden City, Cairo, Egypt ",Full time,4
Talaat Moustafa Group,1 month ago,"Dokki, Giza, Egypt ",Full time,1
GTCI Constructors ,25 days ago,"Heliopolis, Cairo, Egypt ",Full time,1
Webhelp,18 days ago,"New Cairo, Cairo, Egypt ",Full time,1
Sykes Enterprises,25 days ago,"Maadi, Cairo, Egypt ",Full time,1
Genovity ,1 month ago,"Cairo, Egypt ",Work from home,5
BlueCloud,1 month ago,"Sheraton, Cairo, Egypt ",Full time,1
SME Consulting ,1 month ago,"Heliopolis, Cairo, Egypt ",Full time,1
LEONI Wiring System Egypt S.A.E,1 month ago,"Nasr City, Cairo, Egypt ",Full time,0
Softec Technologies,1 month ago,"Maadi, Cairo, Egypt ",Full time,5
Informatique Education,11 days ago,"Nasr City, Cairo, Egypt ",Full time,3
BBI-Consultancy,8 days ago,"Cairo, Egypt ",Freelance project,2
Fund Ourselves Ltd,1 month ago,"Downtown, Cairo, Egypt ",Full time,0
Etisalat Misr,1 month ago,"New Cairo, Cairo, Egypt ",Full time,5
Wadi Group,2 months ago,"6th of October, Giza, Egypt ",Full time,0
Caelum Egypt,16 days ago,"Dokki, Giza, Egypt ",Full time,5
Cairo Three A  for International Industries.,1 month ago,"Cairo, Egypt ",Full time,1
AAMBFS,11 days ago,"Giza, Egypt ",Full time,5
NMDC,11 days ago,"Cairo, Egypt ",Full time,5
Evolvice GmbH,25 days ago,"Maadi, Cairo, Egypt ",Full time,3
BlinkApp,1 month ago,"Nasr City, Cairo, Egypt ",Full time,3
American Shop ,1 month ago,"New Cairo, Cairo, Egypt ",Full time,1
Etisalat Misr,13 days ago,"Cairo, Egypt ",Full time,2
Paymob Solutions,28 days ago,"Maadi, Cairo, Egypt ",Full time,2
Confidential -,1 month ago,"New Cairo, Cairo, Egypt ",Full time,6
Expand Cart,1 month ago,"6th of October, Giza, Egypt ",Full time,2
Tech-Hub,1 month ago,"New Cairo, Cairo, Egypt ",Full time,3
Ashtar.app,1 month ago,"Maadi, Cairo, Egypt ",Full time,3
Kick Start Interactive,1 month ago,"Dokki, Giza, Egypt ",Full time,3
Public Cloud Service,1 month ago,"Dokki, Giza, Egypt ",Full time,3
Confidential -,1 month ago,"Maadi, Cairo, Egypt ",Full time,2
Confidential -,27 days ago,"Cairo, Egypt ",Full time,3
Lun Development,1 month ago,"Nasr City, Cairo, Egypt ",Full time,2
SmartTech Systems,1 month ago,"Cairo, Egypt ",Full time,5
Dolf,1 month ago,"Heliopolis, Cairo, Egypt ",Full time,3
B.Tech,1 month ago,"Cairo, Egypt ",Full time,2
RISEUP (Endemag for Administrative Skills Development),1 month ago,"Abu Rawash, Giza, Egypt ",Full time,3
BBI-Consultancy,1 month ago,"Cairo, Egypt ",Full time,2
Intercap Capital ,1 month ago,"Dokki, Giza, Egypt ",Full time,0
Premium Card,1 month ago,"Dokki, Giza, Egypt ",Full time,3
Aman Holding,1 month ago,"Cairo, Egypt ",Work from home,10
Confidential -,1 month ago,"Heliopolis, Cairo, Egypt ",Full time,4
AppLogica,1 month ago,"Sheraton, Cairo, Egypt ",Full time,8
Mubasher,19 days ago,"Nasr City, Cairo, Egypt ",Full time,0
DevartLab,2 months ago,"Cairo, Egypt ",Full time,2
Caduceus Lane,2 months ago,"Alexandria, Egypt ",Internship,4
egabi solutions,1 month ago,"Sheraton, Cairo, Egypt ",Full time,4
Ibn Sina Pharma,25 days ago,"New Cairo, Cairo, Egypt ",Full time,5
SAED,18 days ago,"Cairo, Egypt ",Full time,7
Mubasher,27 days ago,"Nasr City, Cairo, Egypt ",Part time,4
UnitLabs,1 month ago,"Dokki, Giza, Egypt ",Full time,4
Mantrac,1 month ago,"10th of Ramadan City, Cairo, Egypt ",Full time,3
MAHARA HR,1 month ago,"Khobar, Saudi Arabia ",Full time,5
Happy Vision,1 month ago,"Mohandessin, Giza, Egypt ",Full time,2
Jumia,12 days ago,"Cairo, Egypt ",Full time,3
Easy Cash,1 month ago,"Heliopolis, Cairo, Egypt ",Full time,3
CRIF EGYPT,1 month ago,"Heliopolis, Cairo, Egypt ",Full time,2
Premier Services and Recruitment,11 days ago,"6th of October, Giza, Egypt ",Full time,1
Maxab,1 month ago,"Cairo, Egypt ",Full time,1
Confidential -,18 days ago,"Heliopolis, Cairo, Egypt ",Work from home,5
Microtech,16 days ago,"Dokki, Giza, Egypt ",Full time,5
EFG Hermes,19 days ago,"Smart Village, Giza, Egypt ",Full time,1
Talaat Moustafa Group,20 days ago,"Dokki, Giza, Egypt ",Full time,5
Z2 Data,1 month ago,"Nasr City, Cairo, Egypt ",Full time,2
Ibn Sina Pharma,25 days ago,"New Cairo, Cairo, Egypt ",Full time,5
Dataplus,11 days ago,"Cairo, Egypt ",Full time,3
Raya Customer Experience,11 days ago,"6th of October, Giza, Egypt ",Part time,0
Confidential -,19 days ago,"New Cairo, Cairo, Egypt ",Full time,3
Confidential -,1 month ago,"Nasr City, Cairo, Egypt ",Full time,1
Talaat Moustafa Group,29 days ago,"Dokki, Giza, Egypt ",Full time,2
Etisalat Misr,18 days ago,"Maadi, Cairo, Egypt ",Full time,1
Confidential -,27 days ago,"Nasr City, Cairo, Egypt ",Full time,3
Medineeds,13 days ago,"Agouza, Giza, Egypt ",Full time,2
BNC Network,27 days ago,"15th May City, Cairo, Egypt ",Full time,0
BlinkApp,27 days ago,"Nasr City, Cairo, Egypt ",Full time,4
Andalusia Group,19 days ago,"Maadi, Cairo, Egypt ",Full time,1
Confidential -,14 days ago,"Maadi, Cairo, Egypt ",Full time,0
CRIF EGYPT,16 days ago,"Heliopolis, Cairo, Egypt ",Full time,3
NetEra,16 days ago,"Alexandria, Egypt ",Full time,3
Onecard,23 days ago,"Nasr City, Cairo, Egypt ",Full time,1
Maxab,10 days ago,"Cairo, Egypt ",Full time,1
Pyramid Poultry Co.,23 days ago,"Maadi, Cairo, Egypt ",Full time,2
Elaraby Group,1 month ago,"Cairo, Egypt ",Full time,4
Real Mark,11 days ago,"Heliopolis, Cairo, Egypt ",Work from home,4
Elsaba AutoService,25 days ago,"New Cairo, Cairo, Egypt ",Full time,3
Egyptian British Co.,24 days ago,"6th of October, Giza, Egypt ",Full time,1
TechnoBit Group,18 days ago,"Cairo, Egypt ",Full time,4
Confidential -,18 days ago,"Heliopolis, Cairo, Egypt ",Full time,4
Caelum Egypt,12 days ago,"Dokki, Giza, Egypt ",Part time,1
Majorel Egypt,1 month ago,"Cairo, Egypt ",Full time,1
Confidential -,11 days ago,"Maadi, Cairo, Egypt ",Full time,3
Sismatix Information System,18 days ago,"New Cairo, Cairo, Egypt ",Full time,1
StatsBomb,1 month ago,"Nasr City, Cairo, Egypt ",Full time,4
Ibtikar,15 days ago,"Alexandria, Egypt ",Full time,2
Perfect Presentation,1 month ago,"6th of October, Giza, Egypt ",Full time,5
Global Medical Solutions International ,1 month ago,"Cairo, Egypt ",Full time,2
BI-Technologies,1 month ago,"New Cairo, Cairo, Egypt ",Freelance project,1
Elaraby Group,1 month ago,"Cairo, Egypt ",Full time,0
Confidential -,1 month ago,"Nasr City, Cairo, Egypt ",Work from home,4
