company,job_age,address,job_type,min_exp_yrs,city,country,job_age_in_days
The Food Lab,8 days ago,"Maadi, Cairo, Egypt ",Full time,2,Cairo, Egypt ,8
Raya Customer Experience,10 days ago,"Cairo, Egypt ",Full time,5,Cairo, Egypt ,10
Zeina Group,12 days ago,"Sheikh Zayed, Giza, Egypt ",Full time,1,Giza, Egypt ,12
Premier Services and Recruitment,12 days ago,"6th of October, Giza, Egypt ",Full time,4,Giza, Egypt ,12
almentor,15 days ago,"Maadi, Cairo, Egypt ",Full time,3,Cairo, Egypt ,15
Olam SVI,16 days ago,"6th of October, Giza, Egypt ",Full time,0,Giza, Egypt ,16
Fund Ourselves Ltd,19 days ago,"Downtown, Cairo, Egypt ",Full time,1,Cairo, Egypt ,19
Carina Wear,30 days ago,"New Cairo, Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Z2 Data,30 days ago,"Nasr City, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
Second profit  ,30 days ago,"Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Safa International Travel,9 days ago,"Dokki, Giza, Egypt ",Full time,3,Giza, Egypt ,9
AKL Auto Feeding Industries,30 days ago,"Talkha, Dakahlia, Egypt ",Full time,2,Dakahlia, Egypt ,30
Transformation Experts,16 days ago,"Riyadh, Saudi Arabia ",Full time,3,Riyadh, Saudi Arabia ,16
OPEX Egypt,20 days ago,"New Cairo, Cairo, Egypt ",Full time,2,Cairo, Egypt ,20
Confidential -,30 days ago,"Alexandria, Egypt ",Full time,3,Alexandria, Egypt ,30
Andalusia Group,30 days ago,"Alexandria, Egypt ",Freelance project,2,Alexandria, Egypt ,30
AKL Auto Feeding Industries,30 days ago,"Talkha, Dakahlia, Egypt ",Full time,2,Dakahlia, Egypt ,30
Ashtar.app,12 days ago,"Maadi, Cairo, Egypt ",Full time,1,Cairo, Egypt ,12
Target Recruitment  & HR Solutions ,20 days ago,"Cairo, Egypt ",Full time,2,Cairo, Egypt ,20
StatsBomb,30 days ago,"Nasr City, Cairo, Egypt ",Full time,5,Cairo, Egypt ,30
World Vest Base (WVB ),8 days ago,"Heliopolis, Cairo, Egypt ",Full time,0,Cairo, Egypt ,8
World Vest Base (WVB ),11 days ago,"Heliopolis, Cairo, Egypt ",Full time,0,Cairo, Egypt ,11
Paymob Solutions,20 days ago,"Maadi, Cairo, Egypt ",Full time,2,Cairo, Egypt ,20
Target for Chemicals industry and trade,17 days ago,"Bourj Alarab, Alexandria, Egypt ",Full time,3,Alexandria, Egypt ,17
Elaraby Group,30 days ago,"Cairo, Egypt ",Full time,0,Cairo, Egypt ,30
